node_id,asn,weight,degree_centrality,betweenness_centrality,eigenvector_centrality,PageRank,ix_count,fac_count,info_prefixes4,info_prefixes6,policy_general_No,policy_general_Open,policy_general_Restrictive,policy_general_Selective,policy_general_Unknown,policy_locations_Not Required,policy_locations_Preferred,policy_locations_Required - EU,policy_locations_Required - International,policy_locations_Required - US,policy_locations_Unknown,policy_contracts_Not Required,policy_contracts_Private Only,policy_contracts_Required,policy_contracts_Unknown,info_traffic_0-20Mbps,info_traffic_1-5Gbps,info_traffic_1-5Tbps,info_traffic_10-20Gbps,info_traffic_10-20Tbps,info_traffic_100+Tbps,info_traffic_100-1000Mbps,info_traffic_100-200Gbps,info_traffic_20-100Mbps,info_traffic_20-50Gbps,info_traffic_20-50Tbps,info_traffic_200-300Gbps,info_traffic_300-500Gbps,info_traffic_5-10Gbps,info_traffic_5-10Tbps,info_traffic_50-100Gbps,info_traffic_50-100Tbps,info_traffic_500-1000Gbps,info_traffic_Unknown,info_scope_Africa,info_scope_Asia Pacific,info_scope_Australia,info_scope_Europe,info_scope_Global,info_scope_Middle East,info_scope_North America,info_scope_Not Disclosed,info_scope_Regional,info_scope_South America,info_scope_Unknown,info_type_Cable/DSL/ISP,info_type_Content,info_type_Educational/Research,info_type_Enterprise,info_type_Government,info_type_NSP,info_type_Network Services,info_type_Non-Profit,info_type_Route Collector,info_type_Route Server,info_type_Unknown,info_ratio_Balanced,info_ratio_Heavy Inbound,info_ratio_Heavy Outbound,info_ratio_Mostly Inbound,info_ratio_Mostly Outbound,info_ratio_Not Disclosed,info_ratio_Unknown
77780,6939,0.99031526,1.0,0.6390418,0.17752025,1.0,0.98799783,0.86644703,0.8870368,0.9705077,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
52955,38040,0.58414245,0.012981705,0.0004954835,0.002974443,0.0018361646,0.46161512,0.3276084,0.61650944,0.5865919,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
32989,23969,0.54433024,0.0020951922,0.00022347212,7.360828e-05,0.0062197987,0.3054239,0.23996884,0.6003614,0.5540993,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64497,4651,0.70710665,0.080805704,0.0021340072,0.016159972,0.027459895,0.46161512,0.38243654,0.64085996,0.5865919,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
32992,23974,0.40144143,0.0,0.0,7.894034e-08,0.0063436376,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
65510,4788,0.6640743,0.026674308,0.0046564834,0.016449675,0.0063923276,0.48295045,0.44666672,0.66667384,0.5865919,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
71593,56120,0.33087045,0.0,0.0,2.7951211e-08,0.0022461596,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
65807,4826,0.8361545,0.14530243,0.09200581,0.06032308,0.08075244,0.6411354,0.56079876,0.7461892,0.68311614,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
79298,9723,0.5998273,0.004713442,0.0006853429,0.0003289568,0.0010272503,0.43722206,0.4133958,0.5000723,0.23615134,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
79040,9313,0.3980652,0.0020951922,0.00011535093,5.8238933e-05,0.000119146855,0.2743453,0.29013717,0.33405352,0.14370357,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2045,131293,0.5208072,0.0019904452,0.0003783181,5.3233227e-05,0.0049414188,0.11815409,0.0,0.5502078,0.49858728,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64024,45806,0.4614222,0.00052384747,0.0,5.889467e-07,0.0059435586,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10253,147027,0.398656,0.00020954294,0.0,4.204688e-08,0.0050899214,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3927,134166,0.440798,0.00010477213,0.0,2.7498454e-06,0.0013480196,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
52783,37613,0.62273747,0.014864466,0.0014783018,0.0030770097,0.006576093,0.3924994,0.31004685,0.5000723,0.49858728,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
52635,3741,0.79733926,0.08661431,0.002202679,0.015777707,0.010627785,0.408746,0.39348614,0.69602,0.7387003,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
52602,37350,0.5285163,0.001152421,1.5163317e-05,0.00013010761,0.0007677401,0.1872698,0.23996884,0.2508583,0.27796066,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46945,30997,0.36641514,0.00041908058,0.0,9.23963e-07,0.0018070774,0.11815409,0.0,0.66667384,0.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
26634,20940,0.7257473,0.03679862,0.0102567775,0.01525531,0.34090975,0.9356461,0.80419534,0.6798695,0.68311614,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52816,37662,0.7942386,0.12943132,0.005945784,0.040432326,0.036454428,0.423578,0.54236776,0.69602,0.7387003,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
14971,16625,0.612827,0.00052384747,0.0,0.00054795394,0.151799,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
50458,34224,0.62355185,0.021032756,0.0025852642,0.011183394,0.015757259,0.3745396,0.56757724,0.5745521,0.39690286,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
32047,22548,0.48267233,0.0065980726,0.00031834203,0.0006611533,0.00041507278,0.1872698,0.0,0.284595,0.27541432,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
75351,61580,0.4591203,0.0035615133,0.0,1.42944255e-05,0.016470596,0.33170044,0.0,0.17356543,0.19231717,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
78523,8529,0.8548008,0.18505335,0.0071348213,0.03181126,0.09412607,0.5189703,0.3705021,0.69602,0.69075876,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
31590,21859,0.771865,0.05295115,0.043630444,0.044217933,0.120140515,0.75928944,0.68209404,0.71684194,0.7387003,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26460,209173,0.482758,0.00010477213,0.0,1.4846319e-05,0.0014643328,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
68234,51395,0.4480562,0.0015714436,0.00017458275,0.000285407,0.0009838629,0.11815409,0.23996884,0.26879728,0.3153422,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
